Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
12/03/2025;CFG;CFG BANK;229.10;224.00;230.00;220.00;5550176.60;24766;125;7841783040.00
11/03/2025;CFG;CFG BANK;230.00;228.20;233.70;228.00;5995202.20;26274;57;7988816472.00
10/03/2025;CFG;CFG BANK;233.50;230.00;235.00;230.00;3703558.45;15965;113;8051830800.00
07/03/2025;CFG;CFG BANK;238.00;233.00;238.00;233.00;1814299.50;7756;82;8156854680.00
06/03/2025;CFG;CFG BANK;240.00;236.00;240.00;235.20;3164182.60;13400;48;8261878560.00
05/03/2025;CFG;CFG BANK;236.00;235.50;238.95;235.20;3075482.30;13015;56;8244374580.00
04/03/2025;CFG;CFG BANK;238.00;236.10;239.00;236.10;2247105.70;9494;48;8265379356.00
03/03/2025;CFG;CFG BANK;239.80;239.95;241.00;237.00;178406.90;747;31;8400160002.00
28/02/2025;CFG;CFG BANK;236.20;237.00;240.00;236.20;12133839.00;50947;73;8296886520.00
27/02/2025;CFG;CFG BANK;239.00;236.00;239.00;236.00;3380253.80;14269;113;8261878560.00
26/02/2025;CFG;CFG BANK;239.00;238.90;240.00;233.15;29708611.80;126605;179;8363401644.00
25/02/2025;CFG;CFG BANK;241.80;240.00;241.80;237.00;2452707.95;10247;106;8401910400.00
24/02/2025;CFG;CFG BANK;241.00;240.00;249.00;240.00;2571593.40;10635;112;8401910400.00
21/02/2025;CFG;CFG BANK;255.00;241.00;255.80;238.00;8883306.55;36262;174;8436918360.00
20/02/2025;CFG;CFG BANK;257.00;249.00;258.00;249.00;17795543.05;69910;225;8716982040.00
19/02/2025;CFG;CFG BANK;245.00;252.00;252.00;244.50;5830590.85;23491;97;8822005920.00
18/02/2025;CFG;CFG BANK;244.20;244.90;245.50;244.20;8471574.35;34591;100;8573449404.00
17/02/2025;CFG;CFG BANK;241.00;243.95;243.95;241.00;5090540.70;21053;70;8540191842.00
14/02/2025;CFG;CFG BANK;240.00;241.00;243.00;240.00;3122563.05;12957;23;8436918360.00
