Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
28/04/2026;SNA;STOKVIS NORD AFRIQUE;86.50;83.97;87.00;83.97;2063550.91;24356;233;1485861745.50
27/04/2026;SNA;STOKVIS NORD AFRIQUE;88.88;87.49;88.88;86.05;185664.60;2120;44;1548148673.50
24/04/2026;SNA;STOKVIS NORD AFRIQUE;86.10;86.99;88.49;86.10;1110363.44;12822;167;1539301098.50
23/04/2026;SNA;STOKVIS NORD AFRIQUE;89.00;88.09;89.00;86.61;515453.24;5880;79;1558765763.50
22/04/2026;SNA;STOKVIS NORD AFRIQUE;89.50;88.10;91.49;88.10;1321411.50;14825;186;1558942715.00
21/04/2026;SNA;STOKVIS NORD AFRIQUE;87.89;88.91;93.50;87.50;4342315.00;48125;407;1573275786.50
20/04/2026;SNA;STOKVIS NORD AFRIQUE;88.00;87.48;88.00;82.55;2977671.55;34561;333;1547971722.00
17/04/2026;SNA;STOKVIS NORD AFRIQUE;81.20;89.60;89.64;81.10;10208958.82;116727;535;1585485440.00
16/04/2026;SNA;STOKVIS NORD AFRIQUE;81.11;81.50;85.90;81.11;7141118.24;86242;619;1442154725.00
15/04/2026;SNA;STOKVIS NORD AFRIQUE;72.50;79.19;79.19;72.50;2483218.31;32206;221;1401278928.50
14/04/2026;SNA;STOKVIS NORD AFRIQUE;70.64;72.00;72.00;68.55;1963048.20;27582;200;1274050800.00
13/04/2026;SNA;STOKVIS NORD AFRIQUE;70.00;69.00;71.00;67.67;1580160.97;22822;225;1220965350.00
10/04/2026;SNA;STOKVIS NORD AFRIQUE;71.01;72.00;72.50;71.00;1007198.73;14032;144;1274050800.00
09/04/2026;SNA;STOKVIS NORD AFRIQUE;72.80;72.30;72.80;71.50;377193.81;5222;75;1279359345.00
08/04/2026;SNA;STOKVIS NORD AFRIQUE;72.50;72.75;74.00;71.50;1816171.06;25000;223;1287322162.50
07/04/2026;SNA;STOKVIS NORD AFRIQUE;70.00;67.70;70.00;67.00;939464.64;13893;177;1197961655.00
06/04/2026;SNA;STOKVIS NORD AFRIQUE;70.10;69.00;70.55;69.00;784021.59;11294;142;1220965350.00
03/04/2026;SNA;STOKVIS NORD AFRIQUE;70.99;70.50;70.99;69.16;280313.53;4003;61;1247508075.00
02/04/2026;SNA;STOKVIS NORD AFRIQUE;69.99;70.00;71.00;69.99;428128.82;6107;69;1238660500.00
01/04/2026;SNA;STOKVIS NORD AFRIQUE;71.00;69.74;72.00;69.00;1862202.69;26560;210;1234059761.00
31/03/2026;SNA;STOKVIS NORD AFRIQUE;69.00;69.10;70.60;69.00;341233.71;4925;96;1222734865.00
30/03/2026;SNA;STOKVIS NORD AFRIQUE;69.50;70.10;70.92;69.50;442978.89;6315;87;1240430015.00
27/03/2026;SNA;STOKVIS NORD AFRIQUE;70.00;70.00;70.99;69.00;1755210.17;25154;164;1238660500.00
26/03/2026;SNA;STOKVIS NORD AFRIQUE;73.00;70.99;73.00;68.10;1040601.99;14806;182;1256178698.50
25/03/2026;SNA;STOKVIS NORD AFRIQUE;72.20;73.00;73.00;70.64;497909.20;6903;92;1291745950.00
24/03/2026;SNA;STOKVIS NORD AFRIQUE;72.50;71.90;72.95;70.00;695956.63;9695;122;1272281285.00
19/03/2026;SNA;STOKVIS NORD AFRIQUE;72.99;71.95;72.99;71.00;351905.26;4879;57;1273166042.50
18/03/2026;SNA;STOKVIS NORD AFRIQUE;72.00;72.79;73.00;72.00;401807.59;5525;69;1288029968.50
