Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
04/10/2024;STR;STROC INDUSTRIE;54.95;56.70;56.70;54.95;58742.60;1068;5;70790800.50
03/10/2024;STR;STROC INDUSTRIE;55.99;55.99;55.99;55.99;503.91;9;3;69904354.85
02/10/2024;STR;STROC INDUSTRIE;55.11;55.00;55.12;54.00;291521.91;5298;31;68668325.00
01/10/2024;STR;STROC INDUSTRIE;57.00;57.00;60.48;55.00;332591.61;6032;35;71165355.00
30/09/2024;STR;STROC INDUSTRIE;60.33;60.79;60.79;58.01;227230.02;3796;31;75897226.85
27/09/2024;STR;STROC INDUSTRIE;62.05;61.40;63.25;60.30;404155.34;6614;55;76658821.00
26/09/2024;STR;STROC INDUSTRIE;62.00;64.00;64.70;60.50;704450.73;11131;67;79904960.00
25/09/2024;STR;STROC INDUSTRIE;55.02;59.88;59.88;55.02;467740.68;7961;60;74761078.20
24/09/2024;STR;STROC INDUSTRIE;46.00;54.44;54.44;46.00;358513.31;6908;43;67969156.60
23/09/2024;STR;STROC INDUSTRIE;44.12;49.50;49.50;44.12;3887.71;83;10;61801492.50
20/09/2024;STR;STROC INDUSTRIE;48.50;48.99;49.95;48.50;8897.39;181;13;61164749.85
19/09/2024;STR;STROC INDUSTRIE;50.00;49.50;50.00;49.20;2278.50;46;5;61801492.50
18/09/2024;STR;STROC INDUSTRIE;52.00;49.20;52.00;49.20;60698.66;1202;22;61426938.00
13/09/2024;STR;STROC INDUSTRIE;52.39;52.39;52.39;51.00;6437.53;124;11;65409700.85
12/09/2024;STR;STROC INDUSTRIE;52.90;52.39;52.90;51.00;87808.77;1719;26;65409700.85
11/09/2024;STR;STROC INDUSTRIE;53.29;52.00;53.29;52.00;2053.37;39;7;64922780.00
10/09/2024;STR;STROC INDUSTRIE;53.39;53.30;53.39;51.50;9950.31;192;11;66545849.50
09/09/2024;STR;STROC INDUSTRIE;52.99;53.20;53.25;50.51;46164.48;880;22;66420998.00
06/09/2024;STR;STROC INDUSTRIE;53.99;53.20;53.99;53.00;18401.35;344;14;66420998.00
05/09/2024;STR;STROC INDUSTRIE;51.01;52.00;55.25;51.00;232087.62;4483;48;64922780.00
04/09/2024;STR;STROC INDUSTRIE;50.41;54.00;57.00;50.40;32188.94;623;15;67419810.00
03/09/2024;STR;STROC INDUSTRIE;57.00;55.81;58.40;55.81;72067.48;1285;20;69679622.15
02/09/2024;STR;STROC INDUSTRIE;55.20;56.99;57.94;54.90;237815.09;4268;42;71152869.85
30/08/2024;STR;STROC INDUSTRIE;61.30;55.81;63.47;55.81;169777.99;2781;39;69679622.15
29/08/2024;STR;STROC INDUSTRIE;67.80;62.00;67.80;61.20;504215.79;7768;63;77407930.00
28/08/2024;STR;STROC INDUSTRIE;63.20;67.50;67.80;63.20;1040404.02;15756;98;84274762.50
27/08/2024;STR;STROC INDUSTRIE;59.60;62.99;63.00;59.60;1476904.11;23751;120;78643959.85
26/08/2024;STR;STROC INDUSTRIE;56.00;59.10;59.10;55.00;683110.82;11899;65;73787236.50
23/08/2024;STR;STROC INDUSTRIE;57.50;58.39;61.00;57.40;640981.31;10898;101;72900790.85
22/08/2024;STR;STROC INDUSTRIE;59.40;56.00;59.42;55.10;1603197.32;27526;143;69916840.00
