Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/01/2026;CMG;CMGP GROUP;392.00;385.10;396.70;383.00;5045664.10;13028;137;6547046590.00
13/01/2026;CMG;CMGP GROUP;397.00;393.50;400.00;391.50;8121145.40;20415;104;6689854150.00
12/01/2026;CMG;CMGP GROUP;403.40;400.00;403.40;390.00;5550772.10;13921;191;6800360000.00
09/01/2026;CMG;CMGP GROUP;385.00;400.00;400.00;383.50;36551453.65;91876;311;6800360000.00
08/01/2026;CMG;CMGP GROUP;392.50;390.00;393.00;381.10;7067501.55;18321;174;6630351000.00
07/01/2026;CMG;CMGP GROUP;405.00;390.40;405.00;383.00;7734944.20;19670;304;6637151360.00
06/01/2026;CMG;CMGP GROUP;403.10;403.00;411.00;401.00;30090763.50;73659;438;6851362700.00
05/01/2026;CMG;CMGP GROUP;378.80;400.00;400.00;376.00;46802319.10;119253;657;6800360000.00
02/01/2026;CMG;CMGP GROUP;370.00;379.00;379.00;367.05;13015781.75;34406;189;6443341100.00
31/12/2025;CMG;CMGP GROUP;370.00;369.00;372.00;361.00;12965584.40;35205;176;6273332100.00
30/12/2025;CMG;CMGP GROUP;352.00;368.00;368.00;348.00;4812443.70;13619;236;6256331200.00
29/12/2025;CMG;CMGP GROUP;365.00;350.00;373.50;350.00;3136987.10;8866;245;5950315000.00
26/12/2025;CMG;CMGP GROUP;378.90;360.00;378.90;360.00;16701371.75;46266;196;6120324000.00
25/12/2025;CMG;CMGP GROUP;362.10;380.00;380.00;360.20;15068044.00;40099;148;6460342000.00
24/12/2025;CMG;CMGP GROUP;365.00;367.00;367.00;362.10;10610909.80;29014;78;6239330300.00
23/12/2025;CMG;CMGP GROUP;367.00;368.00;368.00;364.00;7243895.90;19738;71;6256331200.00
22/12/2025;CMG;CMGP GROUP;365.00;367.00;367.00;363.90;1731972.50;4733;66;6239330300.00
19/12/2025;CMG;CMGP GROUP;366.00;368.00;370.00;365.00;29451441.40;80037;99;6256331200.00
18/12/2025;CMG;CMGP GROUP;370.00;370.00;372.80;366.00;880613.95;2384;76;6290333000.00
17/12/2025;CMG;CMGP GROUP;362.05;365.00;374.85;362.00;4685377.00;12858;186;6205328500.00
16/12/2025;CMG;CMGP GROUP;378.00;370.00;379.80;370.00;2396515.75;6416;129;6290333000.00
15/12/2025;CMG;CMGP GROUP;380.00;376.00;380.00;371.00;1846520.45;4877;168;6392338400.00
12/12/2025;CMG;CMGP GROUP;375.00;376.00;380.00;370.00;8072039.95;21468;172;6392338400.00
11/12/2025;CMG;CMGP GROUP;365.00;375.00;375.00;363.00;1799094.95;4810;57;6375337500.00
10/12/2025;CMG;CMGP GROUP;367.50;366.00;377.00;366.00;1474679.15;4003;62;6222329400.00
09/12/2025;CMG;CMGP GROUP;364.00;376.00;376.00;364.00;299853.00;803;39;6392338400.00
08/12/2025;CMG;CMGP GROUP;366.20;377.00;377.00;360.40;558874.55;1506;60;6409339300.00
05/12/2025;CMG;CMGP GROUP;357.00;380.00;380.00;354.00;2631450.80;6980;122;6460342000.00
04/12/2025;CMG;CMGP GROUP;348.00;365.00;365.00;348.00;1471105.00;4090;83;6205328500.00
03/12/2025;CMG;CMGP GROUP;345.30;348.00;352.40;345.30;3481160.80;9989;90;5916313200.00
02/12/2025;CMG;CMGP GROUP;350.90;348.00;360.00;348.00;6273616.60;17955;169;5916313200.00
01/12/2025;CMG;CMGP GROUP;352.00;353.00;362.00;352.00;1181353.95;3340;102;6001317700.00
28/11/2025;CMG;CMGP GROUP;359.00;362.50;363.00;352.00;4938553.30;13806;130;6162826250.00
27/11/2025;CMG;CMGP GROUP;368.90;356.00;368.90;356.00;5968160.50;16674;128;6052320400.00
26/11/2025;CMG;CMGP GROUP;365.90;368.50;368.90;360.00;3193612.20;8709;42;6264831650.00
25/11/2025;CMG;CMGP GROUP;360.00;369.80;369.80;353.00;3027847.00;8382;81;6286932820.00
24/11/2025;CMG;CMGP GROUP;340.00;361.00;365.00;336.00;9174141.90;25750;132;6137324900.00
21/11/2025;CMG;CMGP GROUP;344.00;344.00;346.00;340.00;5182000.95;15052;116;5848309600.00
20/11/2025;CMG;CMGP GROUP;346.00;343.40;350.00;343.00;3106237.50;9011;130;5838109060.00
19/11/2025;CMG;CMGP GROUP;353.90;349.00;353.90;343.50;2089488.70;6022;172;5933314100.00
17/11/2025;CMG;CMGP GROUP;361.00;359.00;370.00;350.00;1424714.00;3980;153;6103323100.00
14/11/2025;CMG;CMGP GROUP;370.00;360.00;371.95;360.00;1490497.30;4108;115;6120324000.00
