Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
06/12/2024;CSR;COSUMAR;195.00;195.50;197.00;195.00;67266.80;342;8;18472236456.50
05/12/2024;CSR;COSUMAR;196.00;195.15;197.10;195.00;570524.95;2920;14;18439165956.45
04/12/2024;CSR;COSUMAR;195.15;195.15;195.15;195.15;97575.00;500;3;18439165956.45
03/12/2024;CSR;COSUMAR;196.00;196.00;199.00;196.00;1329609.05;6744;43;18519480028.00
02/12/2024;CSR;COSUMAR;196.00;196.00;196.00;194.00;3544339.00;18084;19;18519480028.00
29/11/2024;CSR;COSUMAR;196.00;197.50;197.50;195.00;565891.50;2880;28;18661210742.50
28/11/2024;CSR;COSUMAR;194.90;196.90;196.90;193.50;14730597.45;75525;21;18604518456.70
27/11/2024;CSR;COSUMAR;194.50;194.90;194.90;193.10;1690889.45;8716;14;18415544170.70
26/11/2024;CSR;COSUMAR;192.00;194.00;194.00;192.00;115369.50;598;10;18330505742.00
25/11/2024;CSR;COSUMAR;194.00;192.00;194.00;191.00;360225.65;1880;34;18141531456.00
22/11/2024;CSR;COSUMAR;197.30;194.00;197.30;194.00;1002115.80;5158;26;18330505742.00
21/11/2024;CSR;COSUMAR;197.50;197.35;197.50;197.35;107580.80;545;8;18647037671.05
20/11/2024;CSR;COSUMAR;197.30;197.30;198.00;197.30;2081442.00;10524;22;18642313313.90
19/11/2024;CSR;COSUMAR;195.00;197.50;197.50;193.35;3417215.35;17309;13;18661210742.50
15/11/2024;CSR;COSUMAR;195.00;196.00;196.00;194.60;9614483.00;49259;22;18519480028.00
14/11/2024;CSR;COSUMAR;194.75;195.95;196.50;194.50;7062782.35;35962;14;18514755670.85
13/11/2024;CSR;COSUMAR;195.00;194.75;195.00;194.00;435936.00;2247;10;18401371099.25
12/11/2024;CSR;COSUMAR;195.85;195.00;196.00;195.00;3214065.75;16454;17;18424992885.00
11/11/2024;CSR;COSUMAR;197.10;195.80;198.00;195.80;17292099.30;87555;49;18500582599.40
08/11/2024;CSR;COSUMAR;195.50;197.05;198.00;195.10;4216369.55;21453;32;18618691528.15
